Year,Type,Question,Qption_A,Qption_B,Qption_C,Qption_D,Category,Marks,Answer
qp_2016_1,,"A shaving set company sells 4 different types of razors, Elegance, Smooth, Soft and Executive. 
Elegance sells at Rs. 48, Smooth at Rs. 63, Soft at Rs. 78 and Executive at Rs. 173 per piece. The 
table below shows the numbers of each razor sold in each quarter of a year.   

  Quarter\Product Elegance Smooth Soft       Executive 
  Q1              27300    20009  17602      9999 
  Q2              25222    19392  18445      8942 
  Q3              28976    22429  19544      10234 
  Q4              21012    18229  16595      10109 

Which product contributes the greatest fraction to the revenue of the company in that year?",Elegance,Executive,Smooth,Soft,GeneralAptitude,,
qp_2016_1,,"Indian currency notes show the denomination indicated in at least seventeen languages. If this is not 
an indication of the nation's diversity, nothing else is. 

Which of the following can be logically inferred from the above sentences?",India is a country of exactly seventeen languages.,Linguistic pluralism is the only indicator of a nation's diversity.,Indian currency notes have sufficient space for all the Indian languages.,Linguistic pluralism is strong evidence of India's diversity.,GeneralAptitude,,
qp_2016_1,,"Consider the following statements relating to the level of poker play of four players P, Q, R and S. 

   I. P always beats Q 
  II. R always beats S 
 III. S loses to P only sometimes 
  IV. R always loses to Q 

Which of the following can be logically inferred from the above statements? 

  (i) P is likely to beat all the three other players 
 (ii) S is the absolute worst player in the set",(i) only,(ii) only,(i) and (ii),neither (i) nor (ii),GeneralAptitude,,
qp_2016_1,,"If f(x) = 2x<sup>7</sup> + 3x - 5, which of the following is a factor of f(x)?",(x<sup>3</sup> + 8),(x - 1),(2x - 5),(x + 1),GeneralAptitude,,
qp_2016_1,,"In a process, the number of cycles to failure decreases exponentially with an increase in load. At a 
load of 80 units, it takes 100 cycles for failure. When the load is halved, it takes 10000 cycles for 
failure. The load for which the failure will happen in 5000 cycles is ____.",40.00,46.02,60.01,92.02,GeneralAptitude,,
qp_2016_1,,"Let p, q, r, s represent the following propositions.
p: x &isin; {8, 9, 10, 11, 12}
q: x is a composite number
r: x is a perfect square
s: x is a prime number
The integer x &ge; 2 which satisfies &not;((p &Implies; q) &and; (&not;r &or; &not;s)) is ____ .",,,,,,,
qp_2016_1,,"Let an be the number of n-bit strings that do NOT contain two consecutive 1s. Which one of
the following is the recurrence relation for an?",a<sub>n</sub> = a<sub>n - 1</sub> +2a<sub>n - 2</sub>,a<sub>n</sub> = a<sub>n - 1</sub> + a<sub>n - 2</sub>,a<sub>n</sub> = 2a<sub>n - 1</sub> + a<sub>n - 2</sub>,a<sub>n</sub> = 2a<sub>n - 1</sub> + 2a<sub>n - 2</sub>,,,
qp_2016_1,,      lim<sub>x &rarr; 4</sub>(sin(x-4))/(x-4) = ____ .,,,,,EngineeringMathematics,,
qp_2016_1,,"A probability density function on the interval [a,1] is given by 1/x<sup>2</sup> and outside this interval
the value of the function is zero. The value of a is ____ .",,,,,,,
qp_2016_1,,Two eigenvalues of a 3 x 3 real matrix P are (2 + &radic;-1) and 3. The determinant of P is ____ .,,,,,EngineeringMathematics,,
qp_2016_1,,"Consider the Boolean operator # with the following properties:

    x#0 = x, x#1 = <span class=""above_bar"">x</span>, x#x = 0 and x#<span class=""above_bar"">x</span> = 1. Then x#y is equivalent to","x <span class=""above_bar"">y</span> + <span class=""above_bar"">x</span> y","x <span class=""above_bar"">y</span> + <span class=""above_bar"">x</span> <span class=""above_bar"">y</span>","<span class=""above_bar"">x</span> y + x y","x y + <span class=""above_bar"">x</span> <span class=""above_bar"">y</span>",DigitalLogic,,
qp_2016_1,,"The 16-bit 2's complement representation of an integer is 1111 1111 1111 0101; its decimal
representation is ____ .",,,,,DigitalLogic,,
qp_2016_1,,"We want to design a synchronous counter that counts the sequence 0-1-0-2-0-3 and then
repeats. The minimum number of J-K flip-flops required to implement this counter is
 ____.",,,,,DigitalLogic,,
qp_2016_1,,"A processor can support a maximum memory of 4 GB, where the memory is word-addressable
(a word consists of two bytes). The size of the address bus of the processor is at least
bits ____.",,,,,,,
qp_2016_1,,"A queue is implemented using an array such that ENQUEUE and DEQUEUE operations are
performed efficiently. Which one of the following statements is CORRECT (n refers to the
number of items in the queue)?",Both operations can be performed in O(1) time,"At most one operation can be performed in O(1) time but the worst case time for
    the other operation will be &Omega;(n)",The worst case time complexity for both operations will be &Omega;(n),Worst case time complexity for both operations will be &Omega;(logn),,,
qp_2016_1,,"Consider the following directed graph:
 
    <img src=""img/2016_1_11.png"" width=""100px"" height=""100px"" />
The number of different topological orderings of the vertices of the graph is ____ .",,,,,,,
qp_2016_1,,"Consider the following C program.
<code>
    void f(int, short);
    void main()
    {
        int i = 100;
        short s = 12;
        short *p = &s;
        ____ ; // call to f()
    }
</code>

Which one of the following expressions, when placed in the blank above, will NOT result in
a type checking error?","f(s, *s)","i = f(i, s)","f(i, *s)","f(i, *p)",,,
qp_2016_1,,"The worst case running times of Insertion sort, Merge sort and Quick sort, respectively, are:","&Theta;(nlog n), &Theta;(nlog n), and &Theta;(n2)","&Theta;(n<sup>2</sup>), &Theta;(n<sup>2</sup>), and &Theta;(nlog n)","&Theta;(n<sup>2</sup>), &Theta;(nlog n), and &Theta;(nlog n)","&Theta;(n<sup>2</sup>), &Theta;(nlog n), and &Theta;(n<sup>2</sup>)",Algorithms,,
qp_2016_1,,"Let G be a weighted connected undirected graph with distinct positive edge weights. If every
edge weight is increased by the same value, then which of the following statements is/are
TRUE?
    P: Minimum spanning tree of G does not change
    Q: Shortest path between any pair of vertices does not change",P only,Q only,Neither P nor Q,Both P and Q,,,
qp_2016_1,,"Consider the following C program.
<code>
    #include<stdio.h>
    void mystery(int *ptra, int *ptrb) {
        int *temp;
        temp = ptrb;
        ptrb = ptra;
        ptra = temp;
    }
    int main() {
        int a=2016, b=0, c=4, d=42;
        mystery(&a, &b);
        if (a < c)
            mystery(&c, &a);
        mystery(&a, &d);
        printf(""%d\n"", a);
    }
</code>
The output of the program is ____ .",,,,,,,
qp_2016_1,,"Which of the following languages is generated by the given grammar?

    S &rarr; aS | bS | &epsilon;","{a<sup>n</sup>b<sup>m</sup> | n, m &ge; 0}","{w &isin; {a,b}<sup>*</sup> | w has equal number of a's and b's }",{a<sup>n</sup> | n &ge; 0} &cup; {b<sup>n</sup> | n &ge; 0} &cup; {a<sup>n</sup>b<sup>n</sup> | n &ge; 0},"{a,b}<sup>*</sup>",,,
qp_2016_1,,"Which of the following decision problems are undecidable?

    I. Given NFAs N1 and N2, is L(N1) &cap; L(N2) = &Phi;?
   II. Given a CFG G = (N, &sum;, P, S) and a string x &isin; &sum;<sup>*</sup>, does x &isin; L(G)?
  III. Given CFGs G1 and G2, is L(G1) = L(G2)?
   IV. Given a TM M, is L(M) = &Phi;?",I and IV only,II and III only,III and IV only,II and IV only,,,
qp_2016_1,,"Which one of the following regular expressions represents the language: the set of all binary
strings having two consecutive 0s and two consecutive 1s?",(0+1)<sup>*</sup>0011(0+1)<sup>*</sup>+(0+1)<sup>*</sup>1100(0+1)<sup>*</sup>,(0+1)<sup>*</sup>(00(0+1)<sup>*</sup>11+11(0+1)<sup>*</sup>00)(0+1)<sup>*</sup>,(0+1)<sup>*</sup>00(0+1)<sup>*</sup>+(0+1)<sup>*</sup>11(0+1)<sup>*</sup>,00(0+1)<sup>*</sup>11+11(0+1)<sup>*</sup>00,,,
qp_2016_1,,"Consider the following code segment.

    x = u - t;
    y = x * v;
    x = y + w;
    y = t - z;
    y = x * y;

The minimum number of total variables required to convert the above code segment to static
single assignment form is ____ .",,,,,,,
qp_2016_1,,"Consider an arbitrary set of CPU-bound processes with unequal CPU burst lengths
submitted at the same time to a computer system. Which one of the following process
scheduling algorithms would minimize the average waiting time in the ready queue?",Shortest remaining time first,Round-robin with time quantum less than the shortest CPU burst,Uniform random,Highest priority first with priority proportional to CPU burst length,,,
qp_2016_1,,"Which of the following is NOT a superkey in a relational schema with attributes
V, W, X, Y, Z and primary key V Y ?",VXYZ,VWXZ,VWXY,VWXYZ,,,
qp_2016_1,,Which one of the following is NOT a part of the ACID properties of database transactions?,Atomicity,Consistency,Isolation,Deadlock-freedom,,,
qp_2016_1,,"A database of research articles in a journal uses the following schema.
    (VOLUME, NUMBER, STARTPAGE, ENDPAGE, TITLE, YEAR, PRICE)

The primary key is (VOLUME, NUMBER, STARTPAGE, ENDPAGE) and the following
functional dependencies exist in the schema.

(VOLUME, NUMBER, STARTPAGE, ENDPAGE) &rarr; TITLE
(VOLUME, NUMBER) &rarr; YEAR
(VOLUME, NUMBER, STARTPAGE, ENDPAGE) &rarr; PRICE

The database is redesigned to use the following schemas.
(VOLUME, NUMBER, STARTPAGE, ENDPAGE, TITLE, PRICE)
(VOLUME, NUMBER, YEAR)
Which is the weakest normal form that the new database satisfies, but the old one does not?",1NF,2NF,3NF,BCNF,Databases,,
qp_2016_1,,"Which one of the following protocols is NOT used to resolve one form of address to another
one?",DNS,ARP,DHCP,RARP,ComputerNetworks,,
qp_2016_1,,"Which of the following is/are example(s) of stateful application layer protocols?
   (i) HTTP
  (ii) FTP
 (iii) TCP
  (iv) POP3",(i) and (ii) only,(ii) and (iii) only,(ii) and (iv) only,(iv) only,ComputerNetworks,,
qp_2016_1,,The coefficient of x<sup>12</sup> in (x<sup>3</sup> + x<sup>4</sup> + x<sup>5</sup> + x<sup>6</sup> + ...)<sup>3</sup> is ____ .,,,,,,,
qp_2016_1,,"Consider the recurrence relation a<sub>1</sub> = 8, a<sub>n</sub> = 6n<sup>2</sup> + 2n + a<sub>n-1</sub>. Let a<sub>99</sub> = K x 10<sup>4</sup>. The value
of K is ____ .",,,,,,,
qp_2016_1,,"A function f : N<sup>+</sup> &rarr; N<sup>+</sup>, defined on the set of positive integers N<sup>+</sup>, satisfies the following
properties:

    f(n) = f(n/2) if n is even
    f(n) = f(n+5) if n is odd

Let R = {i |&exist;j : f(j) = i} be the set of distinct values that f takes. The maximum possible size
of R is ____ .",,,,,,,
qp_2016_1,,"Consider the following experiment.
  Step 1. Flip a fair coin twice.
  Step 2. If the outcomes are (TAILS, HEADS) then output Y and stop.
  Step 3. If the outcomes are either (HEADS, HEADS) or (HEADS, TAILS), then output N and
          stop.
  Step 4. If the outcomes are (TAILS, TAILS), then go to Step 1.

The probability that the output of the experiment is Y is (up to two decimal places)
 ____.",,,,,,,
qp_2016_1,,"Consider the two cascaded 2-to-1 multiplexers as shown in the figure.

    <img src=""img/2016_1_30.png"" width=""100px"" height=""100px"" />

The minimal sum of products form of the output X is","<span class=""above_bar"">P</span> <span class=""above_bar"">Q</span> + PQR","<span class=""above_bar"">P</span>Q + QR","PQ+ <span class=""above_bar"">P</span> <span class=""above_bar"">Q</span> R","<span class=""above_bar"">Q</span> <span class=""above_bar"">R</span> + PQR",,,
qp_2016_1,,"The size of the data count register of a DMA controller is 16 bits. The processor needs to
transfer a file of 29,154 kilobytes from disk to main memory. The memory is byte addressable.
The minimum number of times the DMA controller needs to get the control of the system bus
from the processor to transfer the file from the disk to main memory is ____ .",,,,,,,
qp_2016_1,,"The stage delays in a 4-stage pipeline are 800, 500, 400 and 300 picoseconds. The first
stage (with delay 800 picoseconds) is replaced with a functionally equivalent design involving
two stages with respective delays 600 and 350 picoseconds. The throughput increase of the
pipeline is ____ percent.",,,,,,,
qp_2016_1,,"Consider a carry lookahead adder for adding two n-bit integers, built using gates of fan-in at
most two. The time to perform addition using this adder is",&Theta;(1),&Theta;(log(n)),&Theta;(&radic;n),&Theta;(n),,,
qp_2016_1,,"The following function computes the maximum value contained in an integer array p[] of size
n (n >= 1).

<code>
    int max(int *p, int n) {
        int a=0, b=n-1;
        while (____) {
            if (p[a] <= p[b]) { a = a+1; }
            else { b = b-1; }
        }
        return p[a];
}
</code>

The missing loop condition is",a != n,b != 0,b > (a + 1),b != a,,,
qp_2016_1,,"What will be the output of the following C program?

<code>
    void count(int n){
        static int d=1;
        printf(""%d "", n);
        printf(""%d "", d);
        d++;
        if(n > 1) count(n-1);
        printf(""%d "", d);
    }
    void main(){
        count(3);
    }
</code>",3 1 2 2 1 3 4 4 4,3 1 2 1 1 1 2 2 2,3 1 2 2 1 3 4,3 1 2 1 1 1 2,,,
qp_2016_1,,"What will be the output of the following pseudo-code when parameters are passed by reference
and dynamic scoping is assumed?

<code>
    a=3;
    void n(x) {x = x * a; print(x);}
    void m(y) {a = 1; a = y - a; n(a); print(a);}
    void main() {m(a);}
</code>","6, 2","6, 6","4, 2","4, 4",,,
qp_2016_1,,"An operator delete(i) for a binary heap data structure is to be designed to delete the item in
the i-th node. Assume that the heap is implemented in an array and i refers to the i-th index
of the array. If the heap tree has depth d (number of edges on the path from the root to the
farthest leaf), then what is the time complexity to re-fix the heap efficiently after the removal
of the element?",O(1),O(d) but not O(1),O(2<sup>d</sup>) but not O(d),O(d2<sup>d</sup>) but not O(2<sup>d</sup>),,,
qp_2016_1,,"Consider the weighted undirected graph with 4 vertices, where the weight of edge {i, j} is
given by the entry W<sub>ij</sub> in the matrix W .

        [0 2 8 5]
        [2 0 5 8]
    W = [8 5 0 x]
        [5 8 x 0]

The largest possible integer value of x, for which at least one shortest path between some pair
of vertices will contain the edge with weight x is ____ .",,,,,,,
qp_2016_1,,"Let G be a complete undirected graph on 4 vertices, having 6 edges with weights being 1, 2,
3, 4, 5, and 6. The maximum possible weight that a minimum weight spanning tree of G can
have is ____ .",,,,,,,
qp_2016_1,,"G = (V,E) is an undirected simple graph in which each edge has a distinct weight, and e is a
particular edge of G. Which of the following statements about the minimum spanning trees
(MSTs) of G is/are TRUE?

   I. If e is the lightest edge of some cycle in G, then every MST of G includes e
  II. If e is the heaviest edge of some cycle in G, then every MST of G excludes e",I only,II only,both I and II,neither I nor II,,,
qp_2016_1,,"Let Q denote a queue containing sixteen numbers and S be an empty stack. Head(Q) returns
the element at the head of the queue Q without removing it from Q. Similarly Top(S) returns
the element at the top of S without removing it from S. Consider the algorithm given below.

<code>
    while Q is not Empty do
        if S is Empty OR Top(S) &le; Head(Q) then
            x := Dequeue(Q);
            Push(S, x);
        else
            x := Pop(S);
            Enqueue(Q, x);
        end
    end
</code>

The maximum possible number of iterations of the while loop in the algorithm is
 ____.",,,,,,,
qp_2016_1,,"Consider the following context-free grammars:

    G1: S &rarr; aS|B, B &rarr; b|bB
    G2: S &rarr; aA|bB, A &rarr; aA|B|&epsilon;, B &rarr; bB|&epsilon;

Which one of the following pairs of languages is generated by G1 and G2, respectively?",{a<sup>m</sup>b<sup>n</sup>|m > 0 or n > 0} and {a<sup>m</sup>b<sup>n</sup>|m > 0 and n > 0},{a<sup>m</sup>b<sup>n</sup>|m > 0 and n > 0} and {a<sup>m</sup>b<sup>n</sup>|m > 0 or n &ge; 0},{a<sup>m</sup>b<sup>n</sup>|m &ge; 0 or n > 0} and {a<sup>m</sup>b<sup>n</sup>|m > 0 and n > 0},{a<sup>m</sup>b<sup>n</sup>|m &ge; 0 and n > 0} and {a<sup>m</sup>b<sup>n</sup>|m > 0 or n > 0},,,
qp_2016_1,,"Consider the transition diagram of a PDA given below with input alphabet &sum; = {a,b} and
stack alphabet &Gamma; = {X ,Z}. Z is the initial stack symbol. Let L denote the language accepted
by the PDA.
 
    <img src=""img/2016_1_43.png"" width=""100px"" height=""100px"" />
Which one of the following is TRUE?",L = {a<sup>n</sup>b<sup>n</sup>|n &ge; 0} and is not accepted by any finite automata,L = {a<sup>n</sup>|n &ge; 0} &cup; {a<sup>n</sup>b<sup>n</sup>|n &ge; 0} and is not accepted by any deterministic PDA,L is not accepted by any Turing machine that halts on every input,L = {a<sup>n</sup>|n &ge; 0} &cup; {a<sup>n</sup>b<sup>n</sup>|n &ge; 0} and is deterministic context-free,,,
qp_2016_1,,"Let X be a recursive language and Y be a recursively enumerable but not recursive language.
Let W and Z be two languages such that <span class=""above_bar"">Y</span> reduces to W , and Z reduces to <span class=""above_bar"">X</span> (reduction means
the standard many-one reduction). Which one of the following statements is TRUE?",W can be recursively enumerable and Z is recursive.,W can be recursive and Z is recursively enumerable.,W is not recursively enumerable and Z is recursive.,W is not recursively enumerable and Z is not recursive.,,,
qp_2016_1,,"The attributes of three arithmetic operators in some programming language are given below.

    Operator Precedence Associativity Arity
    +        High       Left          Binary
    -        Medium     Right         Binary
    *        Low        Left          Binary

The value of the expression 2-5+1-7*3 in this language is ____ .",,,,,,,
qp_2016_1,,"Consider the following Syntax Directed Translation Scheme (SDTS), with non-terminals
{S, A} and terminals {a, b}.

    S &rarr; aA { print 1 }
    S &rarr; a { print 2 }
    A &rarr; Sb { print 3 }

Using the above SDTS, the output printed by a bottom-up parser, for the input aab is:",1 3 2,2 2 3,2 3 1,syntax error,,,
qp_2016_1,,"Consider a computer system with 40-bit virtual addressing and page size of sixteen
kilobytes. If the computer system has a one-level page table per process and each page table
entry requires 48 bits, then the size of the per-process page table is ____ megabytes.",,,,,,,
qp_2016_1,,"Consider a disk queue with requests for I/O to blocks on cylinders 47, 38, 121, 191, 87, 11,
92, 10. The C-LOOK scheduling algorithm is used. The head is initially at cylinder number
63, moving towards larger cylinder numbers on its servicing pass. The cylinders are numbered
from 0 to 199. The total head movement (in number of cylinders) incurred while servicing
these requests is ____ .",,,,,,,
qp_2016_1,,"Consider a computer system with ten physical page frames. The system is provided with
an access sequence (a<sub>1</sub>,a<sub>2</sub>, . . . ,a<sub>20</sub>,a<sub>1</sub>,a<sub>2</sub>, . . . ,a<sub>20</sub>), where each a<sub>i</sub> is a distinct virtual page
number. The difference in the number of page faults between the last-in-first-out page
replacement policy and the optimal page replacement policy is ____ .",,,,,,,
qp_2016_1,,"Consider the following proposed solution for the critical section problem. There are n
processes: P<sub>0</sub> . . .P<sub>n-1</sub>. In the code, function pmax returns an integer not smaller than any
of its arguments. For all i, t[i] is initialized to zero.
Code for P<sub>i</sub>:

<code>
    do {
        c[i]=1; t[i] = pmax(t[0],. . .,t[n-1])+1; c[i]=0;
        for every j 6= i in {0,. . .,n-1} {
            while (c[j]);
            while (t[j] != 0 && t[j] <= t[i]);
        }
        Critical Section;
        t[i]=0;
        Remainder Section;
    } while (true);
</code>

Which one of the following is TRUE about the above solution?",At most one process can be in the critical section at any time,The bounded wait condition is satisfied,The progress condition is satisfied,It cannot cause a deadlock,,,
qp_2016_1,,"Consider the following two phase locking protocol. Suppose a transaction T accesses (for
read or write operations), a certain set of objects {O<sub>1</sub>, . . . ,O<sub>k</sub>}. This is done in the following
manner:

    Step 1. T acquires exclusive locks to O<sub>1</sub>, . . . , O<sub>k</sub> in increasing order of their addresses.
    Step 2. The required operations are performed.
    Step 3. All locks are released.

This protocol will",guarantee serializability and deadlock-freedom,guarantee neither serializability nor deadlock-freedom,guarantee serializability but not deadlock-freedom,guarantee deadlock-freedom but not serializability,,,
qp_2016_1,,"Consider that B wants to send a message m that is digitally signed to A. Let the pair of private
and public keys for A and B be denoted by K<sub>x</sub><sup>-</sup> and K<sub>x</sub><sup>+</sup> for x = A,B, respectively. Let K<sub>x</sub>(m)
represent the operation of encrypting m with a key K<sub>x</sub> and H(m) represent the message digest.
Which one of the following indicates the CORRECT way of sending the message m along
with the digital signature to A?","{m,K<sub>B</sub><sup>+</sup>(H(m))}","{m,K<sub>B</sub><sup>-</sup>(H(m))}","{m,K<sub>A</sub><sup>-</sup>(H(m))}","{m,K<sub>B</sub><sup>+</sup>(m)}",,,
qp_2016_1,,"An IP datagram of size 1000 bytes arrives at a router. The router has to forward this packet on
a link whose MTU (maximum transmission unit) is 100 bytes. Assume that the size of the IP
header is 20 bytes.
The number of fragments that the IP datagram will be divided into for transmission is
 ____.",,,,,,,
qp_2016_1,,"For a host machine that uses the token bucket algorithm for congestion control, the token
bucket has a capacity of 1 megabyte and the maximum output rate is 20 megabytes per second.
Tokens arrive at a rate to sustain output at a rate of 10 megabytes per second. The token bucket
is currently full and the machine needs to send 12 megabytes of data. The minimum time
required to transmit the data is ____ seconds.",,,,,,,
qp_2016_1,,"A sender uses the Stop-and-Wait ARQ protocol for reliable transmission of frames. Frames
are of size 1000 bytes and the transmission rate at the sender is 80 Kbps (1Kbps = 1000
bits/second). Size of an acknowledgement is 100 bytes and the transmission rate at the receiver
is 8 Kbps. The one-way propagation delay is 100 milliseconds.
Assuming no frame is lost, the sender throughput is ____ bytes/second.",,,,,,,
qp_2014_3,,"<ins>While trying to collect</ins> an envelope <ins>from under the table</ins>, <ins>Mr. X fell down</ins> and  
            I                           II                         III                           
<ins>was losing consciousness</ins>. 
            IV 
Which one of the above underlined parts of the sentence is NOT appropriate?",I,II,III,IV,GeneralAptitude,,
qp_2014_3,,"If she ____ how to calibrate the instrument, she ____ done the 
experiment.","knows, will have","knew, had","had known, could have","should have known, would have",GeneralAptitude,,
qp_2014_3,,"Choose the word that is opposite in meaning to the word ""coherent"".",sticky,well-connected,rambling,friendly,GeneralAptitude,,
qp_2014_3,,"Which number does not belong in the series below? 
2, 5, 10, 17, 26, 37, 50, 64",17,37,64,26,GeneralAptitude,,
qp_2014_3,,"The table below has question-wise data on the performance of students in an examination. The 
marks for each question are also listed. There is no neTgativeE or partial marking in the examination.  

 Q No. Marks Answered Answered Not 
             Correctly Wrongly Attempted 
 1     2     21       17       6 
 2     3     15       27       2 
 3     2     23       18       3 

What is the average of the marks obtained by the class in the examination?",1.34,1.7,3.02,3.91,GeneralAptitude,,
qp_2014_3,,"A dance programme is scheduled for 10.00 a.m.  Some students are participating in the programme 
and they need to come an hour earlier than the start of the event. These students should be 
accompanied by a parent.  Other students and parents should come in time for the programme.  The 
instruction you think that is appropriate for this is",Students should come at 9.00 a.m. and parents should come at 10.00 a.m.,"Participating students should come at 9.00 a.m. accompanied by a parent, and other parents 
    and students should come by 10.00 a.m.","Students who are not participating should come by 10.00 a.m. and they should not bring their 
    parents.  Participating students should come at 9.00 a.m.","Participating students should come before 9.00 a.m.  Parents who accompany them should 
    come at 9.00 a.m.  All others should come at 10.00 a.m.",GeneralAptitude,,
qp_2014_3,,"By the beginning of the 20th century, several hypotheses were being proposed, suggesting a 
paradigm shift in our understanding of the universe. However, the clinching evidence was provided 
by experimental measurements of the position of a star which was directly behind our sun. 

Which of the following inference(s) may be drawn from the above passage? 

  (i) Our understanding of the universe changes based on the positions of stars 
 (ii) Paradigm shifts usually occur at the beginning of centuries 
(iii) Stars are important objects in the universe 
 (iv) Experimental evidence was important in confirming this paradigm shift","(i), (ii) and (iv)",(iii) only,(i) and (iv),(iv) only,GeneralAptitude,,
qp_2014_3,,"The Gross Domestic Product (GDP) in Rupees grew at 7% during 2012-2013. For internat)ional 
comparison, the GDP is compared in US Dollars (USD) after conversion based on the market 
exchange rate. During the period 2012-2013 the exchange rate for the USD increased from  
Rs. 50/ USD to Rs. 60/ USD. India's GDP in USD during the period 2012-2013",increased by 5 %,decreased by 13%,decreased by 20%,decreased by 11%,GeneralAptitude,,
qp_2014_3,,"The ratio of male to female students in a college for five years is plotted in the following line graph. 
If the number of female students in 2011 and 2012 is equEal, wha t is2 the ratio of male students in 
2012 to male students in 2011? 

<img src=""img/2014_3_9.png"" width=""100px"" height=""100px"" />",1:1,2:1,1.5:1,2.5:1,GeneralAptitude,,
qp_2014_3,,"Consider the equation: (7526)<sub>8</sub> - (Y)<sub>8</sub> = (4364)<sub>8</sub> , where (X)<sub>N</sub> stands for X to the base N. Find Y.",1634,1737,3142,3162,GeneralAptitude,,
qp_2014_3,,"Consider the following  statements: 

        P: Good mobile phones are not cheap 
        Q: Cheap mobile phones are not good 
       
        L: P implies Q 
        M: Q implies P 
        N: P is equivalent to Q 

Which one of the following about L, M, and N is CORRECT?", Only L is TRUE., Only M is TRUE., Only N is TRUE.," L, M and N are TRUE.",,,
qp_2014_3,,"Let X and Y be finite sets and f:X &rarr; Y be a function. Which one of the following statements is 
TRUE?","For any subsets A and B of X, |f(A &cup; B))| = |f(A)| + |f(B)|","For any subsets A and B of X, f(A &cap; B) = f(A) &cap; f(B)","For any subsets A and B of X, |f(A &cup; B))| = min{|f(A)|, |f(B)|}","For any subsets S and T of Y, f<sup>-1</sup>(S &cap; T) = f<sup>-1</sup>(S) &cap; f<sup>-1</sup>(T)",,,
qp_2014_3,,"Let G be a group with 15 elements. Let L be a subgroup of G. It is known  that L &ne; G and that the 
size of L is at least 4.  The size of L is ____.",,,,,,,
qp_2014_3,,"Which one of the fol3lowing statements is TRUE about every n x n matrix with only real 
eigenvalues?"," If the trace of the matrix is positive and the determinant of the matrix is negative, at least one  
     of its eigenvalues is negative."," If the trace of the matrix is positive, all its eigenvalues are positive."," If the determinant of the matrix is positive, all its eigenvalues are positive."," If the product of the trace and determinant of the matrix is positive, all its eigenvalues are 
     positive.",EngineeringMathematics,,
qp_2014_3,,"If V1 and V2 are 4-dimensional subspaces of a 6-dimensional vector space V, then the smallest 
possible dimension of  V1 &cap; V2   is ____.",,,,,,,
qp_2014_3,,"If <sup>2&pi;</sup>&int;<sub>0</sub>|xsinx|dx = k&pi;, then the value of k is equal to ____ .",,,,,,,
qp_2014_3,,"Consider the following minterm expression for F:
 
    F(P, Q, R, S) = &sum; 0 , 2, 5, 7, 8, 10, 13, 15 

The minterms 2, 7, 8 and 13 are 'do not care' terms. The minimal sum-of-products form for F is","Q <span class=""above_bar"">S</span> + <span class=""above_bar"">Q</span> S","<span class=""above_bar"">Q</span> <span class=""above_bar"">S</span> + Q S","<span class=""above_bar"">Q</span> <span class=""above_bar"">R</span> <span class=""above_bar"">S</span> + <span class=""above_bar"">Q</span> R <span class=""above_bar"">S</span> + Q <span class=""above_bar"">R</span> S + Q R S","<span class=""above_bar"">P</span> <span class=""above_bar"">Q</span> <span class=""above_bar"">S</span> + <span class=""above_bar"">P</span> Q S + P Q S + P <span class=""above_bar"">Q</span> <span class=""above_bar"">S</span>",,,
qp_2014_3,,"Consider the following combinational function block involving four Boolean variables x, y, a, 
b  where x, a, b  are inputs and y is the output.  

f (x, y, a, b) 
{ 
      if (x is 1) y = a;
      else y = b; 
} 

Which one of the following digit(al logic blocks is the most suitable for implementing this function?",Full adder,Priority encoder,Multiplexor,Flip-flop,DigitalLogic,,
qp_2014_3,,"Consider the following 3 processors (ns stands for nanoseconds). Assume that the pipeline registers 
have zero latency.  

P1: Four-stage pipeline with stage latencies 1 ns, 2 ns, 2 ns, 1 ns. 
P2: Four-stage pipeline with stage latencies 1 ns, 1.5 ns, 1.5 ns, 1.5 ns. 
P3: Five-stage pipeline with stage latencies 0.5 ns, 1 ns, 1 ns, 0.6 ns, 1 ns. 
P4: Five-stage pipeline with stage latencies 0.5 ns, 0.5 ns, 1 ns, 1 ns, 1.1 ns. 

Which processor has the highest peak clock frequency?",P1,P2,P3,P4,,,
qp_2014_3,,"Let A be a square matrix of size  n x n. Consider the following pseudocode. What is the expected 
output?   

             C = 100; 
             for i = 1 to n do 
               for j = 1 to n do 
                 { 
                  Temp = A[i][j] + C; 
                  A[i][j] = A[j][i]; 
                  A[j][i] = Temp - C; 
                } 
             for i = 1 to n do 
               for j = 1 to n do 
                  output (A[i][j]); 
 )", The matrix A itself, Transpose of the matrix A," Adding 100 to the upper diagonal elements and subtracting 100 from lower diagonal elements 
     of A", None of the above,,,
qp_2014_3,,"The minimum number of 5 arithmetic operations required to evaluate the polynomial
P(X) = X<sup>5</sup> + 4X<sup>3</sup> + 6X + 5 for a given value of X, using only one temporary variable is   
____.",,,,,,,
qp_2014_3,,"Consider the following rooted tree with the vertex labeled P as the root: 

<img src=""img/2014_3_12.png"" width=""100px"" height=""100px"" />

The order in which the nodes are visited during an in-order traversal of the tree is",SQPTRWUV,SQPTUWRV,SQPTWUVR,SQPTRUWV,,,
qp_2014_3,,"Suppose depth first search is executed on the graph below starting at some unknown vertex.  
Assume that a recursive call to visit a vertex is made only after first checking that the vertex 
has not been visited earlier.  Then the maximum possible recursion depth (including the 
initial call)  is  ____.  

<img src=""img/2014_3_13.png"" width=""100px"" height=""100px"" />",,,,,,,
